nom,address,zip,city,lat,lon,car1,car2, car3
STATION UNI KIRCHBERG,RUE RICHARD COUDENHOVE-KALERGI,1359,Luxembourg,49.6278147,6.1572066,Opel Corsa,Renault Zoe
STATION HUGO,AVENUE VICTOR HUGO,1750,Luxembourg,49.6206026,6.1198597,VW Polo,Opel Meriva
STATION SCHUMAN,PARKING SCHUMAN ROND-POINT SCHUMAN,2525,Luxembourg,49.6182575,6.0550972,Renault Zoe
STATION KLENGE KNUEDLER,RUE NOTRE DAME,2240,Luxembourg,49.6099839,6.1270404,VW Polo, Opel Corsa,  Opel Meriva
STATION ASTRID,RUE ASTRID,1143,Luxembourg,49.6080713,6.1047821,VW Polo ,Opel Meriva
STATION BENDER,RUE BENDER,1229,Luxembourg,49.6037313,6.1332901,VW Polo,  VW Polo
STATION GANGLER,RUE JEAN-FRANÇOIS GANGLER,1613,Luxembourg,49.5969364,6.1452417,VW Polo,  Opel Meriva
STATION BEI DER AUER,RUE DE GASPERICH,1617,Luxembourg,49.5912557,6.1245825,VW Polo,  VW Polo
