line,station
8,"Weimerskirch, Duerf"
8,"Weimerskirch, Mäertesbur"
8,"Weimerskirch, Pierre-Eloi Schoué"
8,"Weimerskirch, St.Vith"
8,"Kirchberg, Paul Noesen"
8,"Kirchberg, Prince Félix"
8,"Kirchberg, Kierch"
8,"Kirchberg, Schmëdd"
8,"Kirchberg, Sichegronn"
8,"Kirchberg, Antoine De St Exupéry"
8,"Kirchberg, Léon Hengen"
8,"Kirchberg, Niedergrünewald"
8,"Kirchberg, Rout Bréck - Pafendall"
8,"Centre, Fondation Pescatore"
8,"Centre, Royal"
8,"Centre, Charlys Gare"
8,"Luxembourg, Square New York"
8,"Belair, Archiducs"
8,"Belair, Amsterdam"
8,"Belair, Kierch"
8,"Belair, Glaesener-Hartmann"
8,"Belair, Val Ste Croix"
8,"Belair, Rue De L'Ouest"
8,"Strassen, Les Aubépines"
8,"Strassen, Michel Angelo"
8,"Strassen, Réimerwee"
8,"Strassen, Kiem"
8,"Strassen, Grande-Duchesse Charlotte"
8,"Strassen, Bechel"
8,"Strassen, Chapelle"
8,"Strassen, Riedgen"
8,"Bertrange, Pesch"
8,"Bertrange, Millewee"
8,"Bertrange, Waassertuerm"
9,"Cents, Waassertuerm"
9,"Luxembourg, Gare Centrale"
9,"Centre, Paris/Zitha"
9,"Centre, Martyrs"
9,"Centre, Badanstalt"
9,"Pfaffenthal, Um Bock"
9,"Clausen, Plateau Altmunster"
9,"Clausen, Clausener Bréck"
9,"Clausen, Malakoff"
9,"Weimershof, Hierzekrëpp"
9,"Neudorf, Fixmer"
9,"Neudorf, Kierch"
9,"Neiduerf, Brasserie"
9,"Neiduerf, Kapell"
9,"Neudorf, Laangegronn"
9,"Weimershof, Fierschterhaus"
9,"Neudorf, Kalchesbruck"
9,"Cents, Waassertuerm"
10,"Luxembourg, Gare Centrale"
10,"Steinsel, Michel Rodange Plaz"
10,"Steinsel, Gonneschhaff"
10,"Steinsel, Laval"
10,"Bereldange, Elterstrachen"
10,"Bereldange, Police"
10,"Bereldange, Schoul"
10,"Beggen, Rue Du Pont"
10,"Beggen, Bastogne"
10,"Beggen, Kierch"
10,"Beggen, Binnchen"
10,"Beggen, Henri Heymanns"
10,"Dommeldange, Emile Metz"
10,"Eich, Klinik"
10,"Eich, Eecher Plaz"
10,"Eich, Octroi"
10,"Limpertsberg, Crispinus"
10,"Centre, Badanstalt"
10,"Centre, Martyrs"
10,"Centre, Paris/Zitha"
10,"Luxembourg, Gare Centrale"
11,"Luxembourg, Gare Centrale"
11,"Steinsel, Michel Rodange Plaz"
11,"Heisdorf, Altersheem"
11,"Heisdorf, Klouster"
11,"Heisdorf, Bei Der Parkmauer"
11,"Heisdorf, Millewee"
11,"Helsem, Mercatoris"
11,"Walferdange, Gare"
11,"Helmsange, Barriär"
11,"Walferdange, Gemenge Plaz"
11,"Bereldange, Police"
11,"Bereldange, Schoul"
11,"Beggen, Rue Du Pont"
11,"Beggen, Bastogne"
11,"Beggen, Kierch"
11,"Beggen, Binnchen"
11,"Beggen, Henri Heymanns"
11,"Dommeldange, Emile Metz"
11,"Eich, Klinik"
11,"Eich, Eecher Plaz"
11,"Eich, Octroi"
11,"Limpertsberg, Crispinus"
